 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Abr-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"52 Goiás";865304,20;-;-;-;-;27013,85;11875,72;11961,37;14039,64;-;24069,84;-;-;11499,13;-;-;-;12735,14;-;-;-;23182,32;11616,62;26341,05;12021,23;-;11624,39;-;14165,72;-;-;5904,57;11569,21;-;-;-;-;-;11940,07;-;23231,41;-;-;-;12006,53;35482,79;11470,54;-;-;25691,27;-;29465,47;-;35865,15;-;13616,49;-;16196,66;11711,24;22988,63;-;-;11485,43;25124,26;12275,11;-;24030,21;-;-;27327,46;-;-;-;-;-;12259,57;12159,45;-;-;-;23272,91;-;11605,40;51743,87;-;-;23838,57;39829,00;11696,01;23432,79;12522,96;11537,54;26045,35;-;5904,57;36165,08;23966,26;26100,30;41513,55;26251,82;-;12440,39;28457,92;45704,13;26177,50;11214,83;12074,28;14266,18;5904,57;23463,89;43746,10;-;-;14067,77;11974,87;12180,23;23565,72;11992,84;34674,91;72364,55;60860,61;24264,80;24096,61;24616,72;60417,63;39042,63;79982,51;22339,62;29615,01;65260,54;41301,35;37071,27;-;12126,44;23923,05;24110,93;76454,03;27697,97;26316,63;128930,56;356570,26;854813,57;1865596,43;2287882,77;3795649,75;6845899,26;17640219,25;27499307,93;31870107,62;34437633,20;33499284,38;20242641,73;184292983,46
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4029,03;-;-;5495,80;-;96194,59;33683,56;83896,29;410488,48;2371285,08;4080090,60;10690397,33;18123899,78;21437430,22;23479773,03;22233542,26;12044848,02;115095054,07
"Total";13373287,47;102270,24;70724,55;48699,32;64453,92;111930,23;58372,67;103641,99;72905,52;133495,09;328809,14;21912,92;121299,17;56036,24;76463,66;80156,50;35370,86;57005,10;27511,23;69164,75;96090,67;82099,54;194224,62;55552,01;362284,75;16404,95;88240,11;45087,16;237199,59;91687,14;92272,53;563585,70;65095,36;347063,84;141447,07;81471,80;116928,44;102826,46;107470,30;94543,26;60792,37;73741,98;95491,57;215729,70;111738,50;135421,15;95242,74;98151,20;160680,40;116699,45;87965,86;144567,48;53558,02;202152,16;159896,67;99702,04;201999,07;693167,29;230428,75;386182,77;579345,30;175569,94;213910,64;160108,51;205288,97;192285,10;129123,46;151949,65;108726,42;1015817,87;139223,16;167953,77;371494,62;110311,14;220325,22;140262,76;134369,46;232082,85;126308,26;437778,76;552737,85;145059,82;202091,55;292193,99;300040,51;238594,70;198100,85;194356,85;193988,64;338235,66;276040,30;256656,24;286845,30;267139,54;152019,98;235790,27;530891,07;250508,55;433690,41;378619,52;175674,27;306998,64;2052545,71;611636,75;252654,48;215453,08;223823,01;456757,82;388905,76;400140,21;319910,71;178218,81;327897,17;207676,43;200980,81;462048,88;262335,57;447737,18;300390,68;345600,57;400220,76;341287,29;190518,16;300737,22;452510,87;347658,08;539415,97;471109,38;302439,82;1313061,67;371746,44;713722,93;1016543,00;958422,67;1650704,28;692411,33;994201,62;1065730,37;1392038,66;2199865,75;2641288,05;5884740,35;15906690,40;44156332,68;168069512,68;324222415,98;718030630,34;1080153330,85;1262763751,01;1224918442,85;1099361266,73;516902129,10;6519016496,33
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
